id,labels,type,flags,lineno,code,childnum,funcid,classname,namespace,endlineno,name,doccomment
0,Filesystem,File,,,,,,,,,"target_file",
1,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1,,,,,"",67,"target_file",
2,Artificial,CFG_FUNC_ENTRY,,,,,1,,,,"target_file",
3,Artificial,CFG_FUNC_EXIT,,,,,1,,,,"target_file",
4,AST,AST_STMT_LIST,,1,,0,1,,"",,,
5,AST,AST_ASSIGN,,45,,0,1,,"",,,
6,AST,AST_VAR,,45,,0,1,,"",,,
7,AST,string,,45,"VAR_NAME",0,1,,"",,,
8,AST,AST_ARRAY,"[WARNING] Unexpected flags for kind: kind=129 and flags=2",45,,1,1,,"",,,
9,AST,AST_ASSIGN,,46,,1,1,,"",,,
10,AST,AST_DIM,,46,,0,1,,"",,,
11,AST,AST_VAR,,46,,0,1,,"",,,
12,AST,string,,46,"VAR_NAME",0,1,,"",,,
13,AST,NULL,,46,,1,1,,"",,,
14,AST,string,,46,"safe",1,1,,"",,,
15,AST,AST_ASSIGN,,47,,2,1,,"",,,
16,AST,AST_DIM,,47,,0,1,,"",,,
17,AST,AST_VAR,,47,,0,1,,"",,,
18,AST,string,,47,"VAR_NAME",0,1,,"",,,
19,AST,NULL,,47,,1,1,,"",,,
20,AST,AST_DIM,,47,,1,1,,"",,,
21,AST,AST_VAR,,47,,0,1,,"",,,
22,AST,string,,47,"T_INPUT",0,1,,"",,,
23,AST,string,,47,"userData",1,1,,"",,,
24,AST,AST_ASSIGN,,48,,3,1,,"",,,
25,AST,AST_DIM,,48,,0,1,,"",,,
26,AST,AST_VAR,,48,,0,1,,"",,,
27,AST,string,,48,"VAR_NAME",0,1,,"",,,
28,AST,NULL,,48,,1,1,,"",,,
29,AST,string,,48,"safe",1,1,,"",,,
30,AST,AST_ASSIGN,,49,,4,1,,"",,,
31,AST,AST_VAR,,49,,0,1,,"",,,
32,AST,string,,49,"VAR_NAME",0,1,,"",,,
33,AST,AST_DIM,,49,,1,1,,"",,,
34,AST,AST_VAR,,49,,0,1,,"",,,
35,AST,string,,49,"VAR_NAME",0,1,,"",,,
36,AST,integer,,49,1,1,1,,"",,,
37,AST,AST_ASSIGN,,51,,5,1,,"",,,
38,AST,AST_VAR,,51,,0,1,,"",,,
39,AST,string,,51,"VAR_NAME",0,1,,"",,,
40,AST,AST_CAST,TYPE_DOUBLE,51,,1,1,,"",,,
41,AST,AST_VAR,,51,,0,1,,"",,,
42,AST,string,,51,"VAR_NAME",0,1,,"",,,
43,AST,AST_ASSIGN,,53,,6,1,,"",,,
44,AST,AST_VAR,,53,,0,1,,"",,,
45,AST,string,,53,"VAR_NAME",0,1,,"",,,
46,AST,AST_BINARY_OP,BINARY_CONCAT,53,,1,1,,"",,,
47,AST,AST_BINARY_OP,BINARY_CONCAT,53,,0,1,,"",,,
48,AST,string,,53,"SELECT * FROM COURSE c WHERE c.id IN (SELECT idcourse FROM REGISTRATION WHERE idstudent=",0,1,,"",,,
49,AST,AST_VAR,,53,,1,1,,"",,,
50,AST,string,,53,"VAR_NAME",0,1,,"",,,
51,AST,string,,53,")",1,1,,"",,,
52,AST,AST_ASSIGN,,55,,7,1,,"",,,
53,AST,AST_VAR,,55,,0,1,,"",,,
54,AST,string,,55,"VAR_NAME",0,1,,"",,,
55,AST,AST_CALL,,55,,1,1,,"",,,
56,AST,AST_NAME,NAME_NOT_FQ,55,,0,1,,"",,,
57,AST,string,,55,"mysql_connect",0,1,,"",,,
