start,end,type
1,2,ENTRY
1,3,EXIT
5,6,ENTRY
5,7,EXIT
5,8,PARENT_OF
5,9,PARENT_OF
15,16,PARENT_OF
14,15,PARENT_OF
18,19,PARENT_OF
17,18,PARENT_OF
14,17,PARENT_OF
13,14,PARENT_OF
12,13,PARENT_OF
22,23,PARENT_OF
21,22,PARENT_OF
25,26,PARENT_OF
24,25,PARENT_OF
28,29,PARENT_OF
27,28,PARENT_OF
24,27,PARENT_OF
21,24,PARENT_OF
20,21,PARENT_OF
31,32,PARENT_OF
30,31,PARENT_OF
20,30,PARENT_OF
12,20,PARENT_OF
11,12,PARENT_OF
10,11,PARENT_OF
5,10,PARENT_OF
5,33,PARENT_OF
4,5,PARENT_OF
4,34,PARENT_OF
1,4,PARENT_OF
0,1,FILE_OF
